case_id,year,date,country,state,deaths,tesla_driver,tesla_occupant,other_vehicle,cyclists_peds,tsla_cycl_peds,model,autopilot_claimed,verified_ap_deaths,verified_ap_nhtsa
294.0,2022.0,2023-01-17,USA,CA,1.0,1.0,,,,1.0,UNKNOWN / UNSPECIFIED,,,
293.0,2022.0,2023-01-07,Canada,,1.0,1.0,,,,1.0,UNKNOWN / UNSPECIFIED,,,
292.0,2022.0,2023-01-07,USA,WA,1.0,,1.0,,,1.0,UNKNOWN / UNSPECIFIED,,,
291.0,2022.0,2022-12-22,USA,GA,1.0,1.0,,,,1.0,UNKNOWN / UNSPECIFIED,,,
290.0,2022.0,2022-12-19,Canada,,1.0,,,,1.0,1.0,UNKNOWN / UNSPECIFIED,,,
289.0,2022.0,2022-12-18,USA,CA,1.0,,1.0,,,,UNKNOWN / UNSPECIFIED,,,
288.0,2022.0,2022-12-17,USA,CA,1.0,,,,1.0,1.0,UNKNOWN / UNSPECIFIED,,,
287.0,2022.0,2022-12-11,USA,CA,1.0,1.0,,,,,UNKNOWN / UNSPECIFIED,,,
286.0,2022.0,2022-12-11,USA,MO,1.0,,,1.0,,,UNKNOWN / UNSPECIFIED,,,
285.0,2022.0,2022-12-06,Canada,,1.0,1.0,,,,,UNKNOWN / UNSPECIFIED,,,
284.0,2022.0,2022-11-28,China,,2.0,,,2.0,,,Y,,,
283.0,2022.0,2022-11-27,USA,CA,1.0,1.0,,,,1.0,UNKNOWN / UNSPECIFIED,,,
282.0,2022.0,2022-11-26,USA,AR,1.0,,,,1.0,1.0,UNKNOWN / UNSPECIFIED,,,
281.0,2022.0,2022-11-18,China,,1.0,1.0,,,,1.0,UNKNOWN / UNSPECIFIED,,,
280.0,2022.0,2022-11-12,Mexico,,1.0,,,1.0,,,UNKNOWN / UNSPECIFIED,,,
279.0,2022.0,2022-11-12,USA,CA,1.0,,,1.0,,,UNKNOWN / UNSPECIFIED,,,
278.0,2022.0,2022-11-11,USA,CA,1.0,,1.0,,,,UNKNOWN / UNSPECIFIED,1.0,,
277.0,2022.0,2022-11-05,China,,2.0,,,1.0,1.0,1.0,UNKNOWN / UNSPECIFIED,,,
276.0,2022.0,2022-11-04,USA,IL,1.0,1.0,,,,1.0,UNKNOWN / UNSPECIFIED,,,
275.0,2022.0,2022-10-19,USA,CA,1.0,1.0,,,,1.0,OTHER / UNSPECIFIED,,,
274.0,2022.0,2022-10-18,USA,FL,4.0,1.0,1.0,2.0,,2.0,UNKNOWN / UNSPECIFIED,,,
273.0,2022.0,2022-10-12,UK,,1.0,1.0,,,,1.0,OTHER / UNSPECIFIED,,,
272.0,2022.0,2022-10-09,USA,CA,1.0,,1.0,,,1.0,UNKNOWN / UNSPECIFIED,,,
271.0,2022.0,2022-10-01,USA,FL,1.0,1.0,,,,1.0,UNKNOWN / UNSPECIFIED,,,
270.0,2022.0,2022-09-18,USA,SC,2.0,1.0,1.0,,,2.0,UNKNOWN / UNSPECIFIED,,,
269.0,2022.0,2022-09-18,USA,MD,1.0,,,1.0,,,UNKNOWN / UNSPECIFIED,,,
268.0,2020.0,2022-09-16,USA,GA,1.0,,,,1.0,1.0,UNKNOWN / UNSPECIFIED,1.0,,
267.0,2022.0,2022-09-13,USA,CA,1.0,1.0,,,,1.0,UNKNOWN / UNSPECIFIED,,,
266.0,2022.0,2022-09-12,USA,NY,1.0,1.0,,,,,UNKNOWN / UNSPECIFIED,,,
265.0,2022.0,2022-09-07,USA,CA,1.0,1.0,,,,,UNKNOWN / UNSPECIFIED,,,
264.0,2022.0,2022-08-30,USA,CA,1.0,,,1.0,,,UNKNOWN / UNSPECIFIED,,,
263.0,2022.0,2022-08-26,USA,FL,1.0,,,1.0,,,3,,1.0,1.0
262.0,2022.0,2022-08-24,USA,MA,1.0,,,1.0,,,UNKNOWN / UNSPECIFIED,,,
261.0,2022.0,2022-08-23,USA,SC,2.0,,,2.0,,,3,,2.0,2.0
260.0,2022.0,2022-08-21,UK,,1.0,,,1.0,,,UNKNOWN / UNSPECIFIED,,,
259.0,2022.0,2022-08-20,USA,FL,1.0,1.0,,,,1.0,S,,,
258.0,2022.0,2022-08-20,USA,FL,1.0,,,,1.0,1.0,UNKNOWN / UNSPECIFIED,,,
257.0,2022.0,2022-08-16,Germany,,3.0,,,,,3.0,UNKNOWN / UNSPECIFIED,,,
256.0,2022.0,2022-08-14,USA,CA,4.0,1.0,3.0,,,4.0,UNKNOWN / UNSPECIFIED,,,
255.0,2022.0,2022-08-14,Finland,,1.0,,,,1.0,1.0,UNKNOWN / UNSPECIFIED,,,
254.0,2022.0,2022-08-02,USA,FL,1.0,,,,1.0,1.0,3,,,
253.0,2022.0,2022-07-27,Canada,,1.0,,,,1.0,1.0,UNKNOWN / UNSPECIFIED,,,
252.0,2022.0,2022-07-27,USA,ME,1.0,1.0,,,,1.0,UNKNOWN / UNSPECIFIED,,,
251.0,2022.0,2022-07-24,USA,UT,1.0,,,1.0,,,3,1.0,1.0,1.0
250.0,2022.0,2022-07-16,USA,PA,1.0,1.0,,,,1.0,UNKNOWN / UNSPECIFIED,,,
249.0,2022.0,2022-07-12,China,,2.0,,,,2.0,2.0,Y,,,
248.0,2022.0,2022-07-08,USA,CA,1.0,,,1.0,,,UNKNOWN / UNSPECIFIED,,,
247.0,2022.0,2022-07-08,USA,HA,1.0,,,1.0,,,UNKNOWN / UNSPECIFIED,,,
246.0,2022.0,2022-07-07,USA,CA,1.0,,,1.0,,,Y,1.0,1.0,1.0
245.0,2022.0,2022-07-06,USA,FL,2.0,1.0,1.0,,,2.0,UNKNOWN / UNSPECIFIED,2.0,2.0,2.0
244.0,2022.0,2022-07-05,USA,GA,1.0,1.0,,,,1.0,UNKNOWN / UNSPECIFIED,,,
243.0,2022.0,2022-06-26,USA,CA,1.0,,,1.0,,,UNKNOWN / UNSPECIFIED,,,
242.0,2022.0,2022-06-20,USA,AL,1.0,,,1.0,,,UNKNOWN / UNSPECIFIED,,,
241.0,2022.0,2022-06-20,USA,PA,1.0,,,,1.0,1.0,UNKNOWN / UNSPECIFIED,,,
240.0,2022.0,2022-06-20,Canada,,1.0,1.0,,,,1.0,UNKNOWN / UNSPECIFIED,,,
239.0,2022.0,2022-06-19,USA,MI,2.0,1.0,1.0,,,2.0,UNKNOWN / UNSPECIFIED,,,
238.0,2022.0,2022-06-17,USA,CA,2.0,1.0,1.0,,,2.0,UNKNOWN / UNSPECIFIED,,,
237.0,2022.0,2022-06-14,USA,CA,1.0,,,1.0,,,UNKNOWN / UNSPECIFIED,,,
236.0,2022.0,2022-06-13,USA,CA,1.0,1.0,,,,1.0,UNKNOWN / UNSPECIFIED,,,
235.0,2022.0,2022-06-07,USA,CA,1.0,,,,1.0,1.0,UNKNOWN / UNSPECIFIED,,,
234.0,2022.0,2022-06-03,USA,NV,1.0,,,1.0,,,UNKNOWN / UNSPECIFIED,,,
233.0,2022.0,2022-05-28,USA,NY,1.0,,,1.0,,,UNKNOWN / UNSPECIFIED,,,
232.0,2022.0,2022-05-28,USA,OR,2.0,1.0,,1.0,,1.0,Y,,,
231.0,2022.0,2022-05-28,USA,CA,1.0,1.0,,,,1.0,UNKNOWN / UNSPECIFIED,,,
230.0,2022.0,2022-05-25,USA,OR,1.0,,1.0,,,1.0,S,,,
229.0,2022.0,2022-05-23,USA,AZ,1.0,1.0,,,,1.0,UNKNOWN / UNSPECIFIED,,,
228.0,2022.0,2022-05-21,China,,1.0,,,,1.0,1.0,UNKNOWN / UNSPECIFIED,,,
227.0,2022.0,2022-05-19,USA,NJ,1.0,1.0,,,,1.0,UNKNOWN / UNSPECIFIED,,,
226.0,2022.0,2022-05-19,USA,NJ,1.0,1.0,,,,1.0,UNKNOWN / UNSPECIFIED,,,
225.0,2022.0,2022-05-18,USA,CA,1.0,,,,1.0,1.0,3,1.0,,1.0
224.0,2022.0,2022-05-17,USA,CO,1.0,1.0,,,,1.0,3,1.0,,1.0
223.0,2022.0,2022-05-12,Australia,,1.0,,,,1.0,1.0,X,,,
222.0,2022.0,2022-05-11,USA,CA,3.0,1.0,2.0,,,3.0,S,1.0,,
221.0,2022.0,2022-05-07,USA,UT,2.0,,,2.0,,,UNKNOWN / UNSPECIFIED,,,
220.0,2022.0,2022-05-01,USA,PA,1.0,,,,1.0,1.0,UNKNOWN / UNSPECIFIED,,,
219.0,2022.0,2022-04-29,USA,NC,1.0,1.0,,,,,UNKNOWN / UNSPECIFIED,,,
218.0,2022.0,2022-04-14,USA,FL,1.0,,,1.0,,,Y,1.0,,1.0
217.0,2022.0,2022-04-10,UK,,1.0,,,1.0,,,UNKNOWN / UNSPECIFIED,,,
216.0,2022.0,2022-04-08,Netherlands,,1.0,,,,,1.0,UNKNOWN / UNSPECIFIED,,,
215.0,2022.0,2022-03-26,USA,CA,1.0,,,,,1.0,UNKNOWN / UNSPECIFIED,1.0,,1.0
214.0,2022.0,2022-03-21,USA,CA,2.0,,,2.0,,,UNKNOWN / UNSPECIFIED,,,
213.0,2022.0,2022-03-20,USA,CA,2.0,1.0,,1.0,,1.0,3,,,
212.0,2022.0,2022-03-14,USA,CA,2.0,1.0,1.0,,,1.0,UNKNOWN / UNSPECIFIED,,,
211.0,2022.0,2022-03-14,USA,FL,1.0,1.0,,,,1.0,UNKNOWN / UNSPECIFIED,,,
210.0,2022.0,2022-03-13,Switzerland,,1.0,,,1.0,,1.0,UNKNOWN / UNSPECIFIED,,,
209.0,2022.0,2022-03-12,USA,NY,1.0,1.0,,,,1.0,S,,,
208.0,2022.0,2022-03-07,China,,1.0,,,,1.0,1.0,UNKNOWN / UNSPECIFIED,1.0,,
207.0,2022.0,2022-03-07,USA,CA,1.0,1.0,,,,1.0,UNKNOWN / UNSPECIFIED,,,
206.0,2022.0,2022-03-05,USA,CA,1.0,,,1.0,,,UNKNOWN / UNSPECIFIED,,,
205.0,2022.0,2022-02-28,USA,ID,1.0,1.0,,,,1.0,UNKNOWN / UNSPECIFIED,,,
204.0,2022.0,2022-02-27,USA,MO,1.0,1.0,,,,1.0,UNKNOWN / UNSPECIFIED,,,
203.0,2022.0,2022-02-12,USA,CA,1.0,1.0,,,,1.0,UNKNOWN / UNSPECIFIED,,,
202.0,2022.0,2022-02-07,USA,FL,1.0,1.0,,,,1.0,UNKNOWN / UNSPECIFIED,,,
201.0,2022.0,2022-01-16,USA,CA,1.0,,,1.0,,,UNKNOWN / UNSPECIFIED,,,
200.0,2022.0,2022-01-01,USA,CA,1.0,,,1.0,,,X,,,
199.0,2022.0,2022-01-01,USA,CA,1.0,1.0,,,,1.0,UNKNOWN / UNSPECIFIED,,,
198.0,2021.0,2021-12-31,USA,CA,2.0,1.0,1.0,,,2.0,UNKNOWN / UNSPECIFIED,,,
197.0,2021.0,2021-12-28,USA,CA,1.0,,,1.0,,,UNKNOWN / UNSPECIFIED,1.0,,1.0
196.0,2021.0,2021-12-24,China,,1.0,1.0,,,,1.0,UNKNOWN / UNSPECIFIED,,,
195.0,2021.0,2021-12-18,USA,CA,1.0,,,1.0,,,Y,,,
194.0,2021.0,2021-12-11,France,,1.0,,,,1.0,1.0,UNKNOWN / UNSPECIFIED,,,
193.0,2021.0,2021-12-07,USA,AZ,1.0,1.0,,,,1.0,UNKNOWN / UNSPECIFIED,,,
