date,forecast_item_count
2022-01-01,744.9777
2022-01-02,284.29825
2022-01-03,261.48734
2022-01-04,320.6844
2022-01-05,349.36386
2022-01-06,524.2707
2022-01-07,683.21344
2022-01-08,678.19836
2022-01-09,279.0408
2022-01-10,219.60333
2022-01-11,319.49396
2022-01-12,359.81854
2022-01-13,549.42957
2022-01-14,716.71106
2022-01-15,735.0092
2022-01-16,270.12158
2022-01-17,457.35727
2022-01-18,375.75974
2022-01-19,388.56265
2022-01-20,603.6426
2022-01-21,757.39453
2022-01-22,731.7235
2022-01-23,232.43633
2022-01-24,280.67563
2022-01-25,356.29858
2022-01-26,401.83923
2022-01-27,608.3328
2022-01-28,768.4412
2022-01-29,735.0234
2022-01-30,240.63681
2022-01-31,313.44492
2022-02-01,418.7445
2022-02-02,437.5652
2022-02-03,612.6303
2022-02-04,727.88574
2022-02-05,725.92944
2022-02-06,283.50595
2022-02-07,283.0691
2022-02-08,367.87628
2022-02-09,409.40494
2022-02-10,622.7303
2022-02-11,759.44495
2022-02-12,756.6483
2022-02-13,352.10422
2022-02-14,481.87756
2022-02-15,462.5172
2022-02-16,458.6169
2022-02-17,634.2333
2022-02-18,777.20465
2022-02-19,813.9415
2022-02-20,332.22864
2022-02-21,435.2826
2022-02-22,452.27707
2022-02-23,489.45935
2022-02-24,674.6993
2022-02-25,826.9289
2022-02-26,858.8186
2022-02-27,404.23672
2022-02-28,405.72534
2022-03-01,477.763
2022-03-02,544.85516
2022-03-03,712.92365
2022-03-04,840.1874
2022-03-05,845.1195
2022-03-06,423.37167
2022-03-07,433.10986
2022-03-08,491.8049
2022-03-09,531.626
2022-03-10,736.3622
2022-03-11,883.07666
2022-03-12,890.4786
2022-03-13,426.65527
2022-03-14,391.04007
2022-03-15,487.50885
2022-03-16,562.6969
2022-03-17,768.8423
2022-03-18,891.17285
2022-03-19,896.5907
2022-03-20,440.06726
2022-03-21,435.75763
2022-03-22,514.49774
2022-03-23,597.60913
2022-03-24,776.35504
2022-03-25,903.6906
2022-03-26,960.44867
2022-03-27,462.62033
2022-03-28,452.52298
2022-03-29,535.0629
2022-03-30,578.94293
2022-03-31,785.1819
2022-04-01,987.2502
2022-04-02,990.19745
2022-04-03,552.55927
2022-04-04,452.72168
2022-04-05,558.7926
2022-04-06,656.4436
2022-04-07,822.0469
2022-04-08,934.9274
2022-04-09,963.21326
2022-04-10,564.646
2022-04-11,530.5794
2022-04-12,614.1128
2022-04-13,633.61255
2022-04-14,821.2708
2022-04-15,954.8662
2022-04-16,996.44836
2022-04-17,618.035
2022-04-18,545.1655
2022-04-19,589.34784
2022-04-20,642.2047
2022-04-21,865.2891
2022-04-22,1001.7893
2022-04-23,1035.1595
2022-04-24,567.3792
2022-04-25,625.9289
2022-04-26,685.8772
2022-04-27,725.0366
2022-04-28,940.82825
2022-04-29,1024.0181
2022-04-30,1028.5066
2022-05-01,613.1103
2022-05-02,593.1104
2022-05-03,626.68506
2022-05-04,713.4314
2022-05-05,951.7956
2022-05-06,1059.2443
2022-05-07,1075.283
2022-05-08,612.70935
2022-05-09,647.3526
2022-05-10,681.4204
2022-05-11,723.65247
2022-05-12,944.33704
2022-05-13,1084.009
2022-05-14,1084.7263
2022-05-15,646.7616
2022-05-16,646.45465
2022-05-17,725.4426
2022-05-18,770.659
2022-05-19,966.4026
2022-05-20,1120.4886
2022-05-21,1106.9547
2022-05-22,603.935
2022-05-23,633.57404
2022-05-24,691.7198
2022-05-25,764.6731
2022-05-26,965.0048
2022-05-27,1082.3589
2022-05-28,1093.438
2022-05-29,620.53876
2022-05-30,756.7403
2022-05-31,765.13495
2022-06-01,826.6819
2022-06-02,970.83514
2022-06-03,1091.6229
2022-06-04,1116.8495
2022-06-05,664.77905
2022-06-06,708.0337
2022-06-07,732.5395
2022-06-08,825.59094
2022-06-09,1022.34265
2022-06-10,1140.9156
2022-06-11,1148.2156
2022-06-12,694.5061
2022-06-13,694.5322
2022-06-14,755.1201
2022-06-15,833.19635
2022-06-16,1030.3909
2022-06-17,1155.4396
2022-06-18,1169.6216
2022-06-19,669.7533
2022-06-20,708.4542
2022-06-21,762.88904
2022-06-22,821.92145
2022-06-23,998.25806
2022-06-24,1132.8031
2022-06-25,1119.5427
2022-06-26,672.22754
2022-06-27,724.0581
2022-06-28,776.13983
2022-06-29,862.09766
2022-06-30,1044.7664
2022-07-01,1176.1597
2022-07-02,1147.7324
2022-07-03,677.88214
2022-07-04,746.41986
2022-07-05,814.50446
2022-07-06,829.66547
2022-07-07,1031.1737
2022-07-08,1171.5349
2022-07-09,1183.7742
2022-07-10,682.5331
2022-07-11,724.76135
2022-07-12,758.4517
2022-07-13,803.4043
2022-07-14,979.28467
2022-07-15,1118.9767
2022-07-16,1114.7733
2022-07-17,696.96704
2022-07-18,718.1102
2022-07-19,756.70654
2022-07-20,825.9005
2022-07-21,1013.5111
2022-07-22,1153.9075
2022-07-23,1144.9308
2022-07-24,669.54877
2022-07-25,693.3036
2022-07-26,731.6512
2022-07-27,775.7229
2022-07-28,1005.511
2022-07-29,1113.5825
2022-07-30,1105.5322
2022-07-31,641.991
2022-08-01,664.1719
2022-08-02,683.0828
2022-08-03,753.18536
2022-08-04,961.4197
2022-08-05,1098.7288
2022-08-06,1088.5435
2022-08-07,615.67957
2022-08-08,642.3675
2022-08-09,683.4953
2022-08-10,737.34546
2022-08-11,933.1974
2022-08-12,1051.9469
2022-08-13,1079.7957
2022-08-14,592.7219
2022-08-15,588.54626
2022-08-16,624.5645
2022-08-17,691.37775
2022-08-18,916.0907
2022-08-19,1049.6265
2022-08-20,1062.4844
2022-08-21,598.36017
2022-08-22,590.5162
2022-08-23,605.0959
2022-08-24,702.7771
2022-08-25,922.9634
2022-08-26,1047.2367
2022-08-27,1037.347
2022-08-28,596.0233
2022-08-29,608.6061
2022-08-30,604.9336
2022-08-31,639.58435
2022-09-01,866.5404
2022-09-02,1009.7409
2022-09-03,990.78845
2022-09-04,538.4269
2022-09-05,654.2616
2022-09-06,615.94086
2022-09-07,642.0997
2022-09-08,812.2606
2022-09-09,990.8807
2022-09-10,1004.0378
2022-09-11,497.7966
2022-09-12,544.76605
2022-09-13,528.3097
2022-09-14,583.85803
2022-09-15,810.88007
2022-09-16,941.2921
2022-09-17,964.6311
2022-09-18,529.34015
2022-09-19,501.54196
2022-09-20,522.61835
2022-09-21,577.6767
2022-09-22,778.82513
2022-09-23,929.852
2022-09-24,936.24603
2022-09-25,425.60132
2022-09-26,463.941
2022-09-27,487.68185
2022-09-28,546.51917
2022-09-29,768.8045
2022-09-30,907.2648
2022-10-01,917.3838
2022-10-02,457.32352
2022-10-03,426.77914
2022-10-04,475.56116
2022-10-05,544.12305
2022-10-06,716.7801
2022-10-07,890.55664
2022-10-08,878.414
2022-10-09,416.46057
2022-10-10,538.8042
2022-10-11,525.0285
2022-10-12,499.58224
2022-10-13,699.274
2022-10-14,878.8966
2022-10-15,873.3355
2022-10-16,402.98312
2022-10-17,387.08957
2022-10-18,463.99506
2022-10-19,500.69598
2022-10-20,686.3246
2022-10-21,856.8279
2022-10-22,859.6417
2022-10-23,332.62155
2022-10-24,345.82983
2022-10-25,448.11548
2022-10-26,485.74234
2022-10-27,724.017
2022-10-28,807.7191
2022-10-29,794.3809
2022-10-30,383.00073
2022-10-31,305.98468
2022-11-01,374.30194
2022-11-02,454.79895
2022-11-03,689.76074
2022-11-04,800.52594
2022-11-05,811.7442
2022-11-06,355.33426
2022-11-07,289.20526
2022-11-08,325.2668
2022-11-09,421.36462
2022-11-10,682.4388
2022-11-11,873.0786
2022-11-12,783.10095
2022-11-13,325.55536
2022-11-14,298.37842
2022-11-15,352.90903
2022-11-16,410.07446
2022-11-17,602.48706
2022-11-18,716.41156
2022-11-19,801.18207
2022-11-20,304.82278
2022-11-21,269.04587
2022-11-22,371.98895
2022-11-23,438.33337
2022-11-24,744.8199
2022-11-25,824.1943
2022-11-26,753.87213
2022-11-27,275.02832
2022-11-28,228.37032
2022-11-29,308.67654
2022-11-30,349.24786
2022-12-01,638.0615
2022-12-02,758.3931
2022-12-03,763.733
2022-12-04,255.99492
2022-12-05,284.96997
2022-12-06,325.75015
2022-12-07,395.32254
2022-12-08,572.1921
2022-12-09,698.0908
2022-12-10,683.4994
2022-12-11,254.66942
2022-12-12,285.51352
2022-12-13,338.05322
2022-12-14,407.43655
2022-12-15,606.617
2022-12-16,739.63666
2022-12-17,724.33936
2022-12-18,288.49722
2022-12-19,269.2362
2022-12-20,352.50754
2022-12-21,400.1199
2022-12-22,611.2775
2022-12-23,810.1044
2022-12-24,805.34595
2022-12-25,220.22188
2022-12-26,228.26936
2022-12-27,306.29327
2022-12-28,392.00986
2022-12-29,549.1602
2022-12-30,709.4156
2022-12-31,789.94946
